Fase,RV1,er1,VR2,er2
0.8514,-26.8,20.2,-26.8,20.4
0.3129,20.2,20.2,-80.1,20.4
0.1851,86.1,20.2,-99.3,20.4
0.6397,-99.6,20.2,95.7,20.4
0.3626,-22.4,20.2,-22.4,20.4
0.0341,41.5,20.2,-111.8,20.4
0.856,-18.3,20.2,-18.3,20.4
0.6825,-114,20.2,80.5,20.4
0.6362,-119,20.2,73.1,20.4
0.1197,79.2,20.2,-108.8,20.4
0.8039,-69.9,20.2,58.6,20.4
0.646,-84.1,20.2,104.8,20.4
0.3673,-6.4,20.2,-6.4,20.4
0.3713,-27.9,20.2,-27.9,20.4
0.2302,67.5,20.2,-137.7,20.4
0.889,-28,20.2,-28,20.4
0.1475,66.4,20.2,-121.6,20.4
0.2851,46.8,20.2,-98.4,20.4
0.819,-93.9,20.2,28.2,20.4
0.2597,57.3,20.2,-128,20.4
0.2325,59.9,20.2,-130,20.4
0.203,54.8,20.2,-124.9,20.4
0.9138,-87.8,20.2,22.2,20.4
0.8485,-81.7,20.2,87.7,20.4
0.2689,102,20.2,-90.7,20.4
0.6807,-89.8,20.2,93.4,20.4
0.369,71.5,20.2,-79.6,20.4
0.4118,31.2,20.2,-84.8,20.4
0.5575,-9.9,20.2,-9.9,20.4
0.6807,-81.9,20.2,78.7,20.4
0.0416,-11,20.2,-11,20.4
0.4517,47.9,20.2,-55.2,20.4
0.8768,-78.3,20.2,72.6,20.4
0.3031,78,20.2,-105.6,20.4
0.7409,-120,20.2,78.4,20.4
0.1544,56.9,20.2,-103,20.4
0.5223,-41.8,20.2,66.9,20.4
0.9462,-92,20.2,28.8,20.4
0.3864,55.6,20.2,-123.4,20.4
0.7918,-108,20.2,88.2,20.4
0.5732,-72.1,20.2,57.4,20.4
0.8433,-76.4,20.2,86.1,20.4
0.2632,94.9,20.2,-96.5,20.4
0.6958,-91.6,20.2,106,20.4
0.1128,90.8,20.2,-76,20.4